Acad_ID,Stud-Sch,Stud-ID,Entry_yr,Acad-Yr-G11-EC,Acad-Yr-G11,Cycle,Grade-Section-G11,Study-Area,Tig-Sem1-G11,Amh-Sem1-G11,Eng-Sem1-G11,Math-Sem1-G11,Bio-Sem1-G11,Chem-Sem1-G11,Phy-Sem1-G11,Civic-Sem1-G11,IT-Sem1-G11,Tech-Dr-Sem1-G11,Geo-Sem1-G11,His-Sem1-G11,Eco-Sem1-G11,Buss-Sem1-G11,Phy-Edu-Sem1-G11,Conduct-Sem1-G11,Tig-Sem2-G11,Amh-Sem2-G11,Eng-Sem2-G11,Math-Sem2-G11,Bio-Sem2-G11,Chem-Sem2-G11,Phy-Sem2-G11,Civic-Sem2-G11,IT-Sem2-G11,Tech-Dr-Sem2-G11,Geo-Sem2-G11,His-Sem2-G11,Eco-Sem2-G11,Buss-Sem2-G11,Phy-Edu-Sem2-G11,Conduct-Sem2-G11,Acad-Yr-G12,Acad-Yr-G12-EC,Grade-Section-G12,Tig-Sem1-G12,Amh-Sem1-G12,Eng-Sem1-G12,Math-Sem1-G12,Bio-Sem1-G12,Chem-Sem1-G12,Phy-Sem1-G12,Civic-Sem1-G12,IT-Sem1-G12,Tech-Dr-Sem1-G12,Geo-Sem1-G12,His-Sem1-G12,Eco-Sem1-G12,Buss-Sem1-G12,Phy-Edu-Sem1-G12,Conduct-Sem1-G12,Tig-Sem2-G12,Amh-Sem2-G12,Eng-Sem2-G12,Math-Sem2-G12,Bio-Sem2-G12,Chem-Sem2-G12,Phy-Sem2-G12,Civic-Sem2-G12,IT-Sem2-G12,Tech-Dr-Sem2-G12,Geo-Sem2-G12,His-Sem2-G12,Eco-Sem2-G12,Buss-Sem2-G12,Phy-Edu-Sem2-G12,Conduct-Sem2-G12,Amharic-ESLCE,English-ESLCE,Maths-ESLCE,Aptitude-ESLCE,Physics-ESLCE,Chemistry-ESLCE,Bilology-ESLCE,Civics-ESLCE,Geography-ESLCE,History -ESLCE,Econ-ESLCE,Tigrigna -ESLCE,ESLCE-Cumm,ESLCE-CummOf7,Status-G12-ESLCE
454,Masho,11C54/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,85,74,82,85,85,75,86,77,66,,,,,81,A,,85,76,78,92,87,75,87,81,86,,,,,75,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Masho,11C58/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,80,76,82,90,85,66,85,75,80,,,,,85,A,,82,70,86,91,89,57,85,82,82,,,,,76,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Masho,11C22/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,73,71,62,80,73,75,76,68,76,,,,,86,A,,77,68,54,75,66,54,74,73,69,,,,,73,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Masho,11C10/2004,,2004,9/14/11 00:00,,11c,NATURAL SCIENCE,,84,69,54,74,82,61,69,66,76,,,,,73,A,,78,62,75,85,84,57,79,79,78,,,,,73,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Masho,11C11/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,76,67,49,66,70,66,64,62,61,,,,,69,A,,66,64,65,74,65,56,55,72,53,,,,,62,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Masho,12C42/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,68,58,76,90,77,65,67,73,75,,,,,86,A,,79,70,81,85,88,63,83,97,82,,,,,87,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Masho,11C60/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,70,81,60,67,76,69,76,61,72,,,,,79,A,,80,76,62,86,78,65,84,81,78,,,,,77,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Masho,11C62/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,78,58,54,74,73,56,71,51,80,,,,,79,A,,82,69,64,82,73,64,68,73,75,,,,,81,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Masho,11C59/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,87,71,68,87,74,61,73,66,75,,,,,82,A,,79,68,52,85,72,51,81,74,71,,,,,72,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Masho,11C56/2004,,2004,9/14/11 00:00,,11C,NATURAL SCIENCE,,70,61,82,81,83,77,81,54,76,,,,,83,A,,71,62,85,86,84,70,72,84,77,,,,,75,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
